name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
Fenix,Toverland,Europe,B&M,Steel,Vest restraint,2018,Chain lift hill,,131.232,3,59.030245,2667.2904,92.8
Superman : the Ride,Six Flags New England,North America,Intamin,Steel,Lap bar,2000,Chain lift hill,Megacoaster,206.6904,0,77.050004,5400.1968,92.8
Montu,Busch Gardens Tampa,North America,B&M,Steel,Shoulder harness,1996,Chain lift hill,,150.9168,7,59.651616,3982.8912,92.7
SheiKra,Busch Gardens Tampa,North America,B&M,Steel,Shoulder harness,2005,Chain lift hill,Dive,200.1288,1,70.214923,3188.9376,92.5
Xcelerator,Knott's Berry Farm,North America,Intamin,Steel,Lap bar,2002,Hydraulic cable launch,Rocket,203.4096,0,82.020972,2201.4168,92.4
Skyrush,Hersheypark,North America,Intamin,Steel,Shoulder harness,2012,Cable lift hill,Megacoaster,196.848,0,74.56452,3608.88,92.4
Tron Lightcycle Power Run,Shanghaï Disneyland,Asia,Vekoma,Steel,Shoulder harness,2016,Magnetic Launch (LIM/LSM),,78.7392,0,59.030245,3182.376,92.3
Afterburn,Carowinds,North America,B&M,Steel,Shoulder harness,1999,Chain lift hill,,111.5472,6,62.1371,2952.72,92.2
Tatsu,Six Flags Magic Mountain,North America,B&M,Steel,Flying restraint,2006,Chain lift hill,,170.6016,4,62.1371,3599.0376,92.1
Superman la Atraccion de Acero,Parque Warner Madrid,Europe,B&M,Steel,Shoulder harness,2002,Chain lift hill,,164.04,7,65.243955,3936.96,92
Kingda Ka,Six Flags Great Adventure,North America,Intamin,Steel,Shoulder harness,2005,Hydraulic cable launch,"Rocket, Strata",456.0312,0,128.002426,3116.76,91.9
Nitro,Six Flags Great Adventure,North America,B&M,Steel,Lap bar,2001,Chain lift hill,Hyper,229.656,0,79.535488,5393.6352,91.6
Thunderbird,Holiday World,North America,B&M,Steel,Shoulder harness,2015,Magnetic Launch (LIM/LSM),,141.0744,4,62.1371,3034.74,91.1
Manta,SeaWorld Orlando,North America,B&M,Steel,Flying restraint,2009,Chain lift hill,,141.0744,4,60.272987,3359.5392,90.9
Kawasemi,Tobu Zoo Park,Asia,Intamin,Steel,,2008,Cable lift hill,Megalite,104.9856,0,54.059277,2460.6,90.8
Piraten,Djurs Sommerland,Europe,Intamin,Steel,Lap bar,2008,Chain lift hill,Megalite,104.9856,0,55.92339,2477.004,90.8
GateKeeper,Cedar Point,North America,B&M,Steel,Flying restraint,2013,Chain lift hill,,170.6016,6,67.108068,4163.3352,90.5
Black Mamba,Phantasialand,Europe,B&M,Steel,Shoulder harness,2006,Chain lift hill,,85.3008,4,49.70968,,90.3
Do-Dodonpa,Fuji-Q Highland,Asia,S&S,Steel,Lap bar,2001,Compressed air launch,Air Powered,170.6016,0,106.875812,3900.8712,90.2
The Monster,Walygator Parc,Europe,B&M,Steel,Shoulder harness,2010,Chain lift hill,,137.7936,6,57.166132,3936.96,90.1
Alpina Blitz,Nigloland,Europe,Mack,Steel,Lap bar,,Chain lift hill,Megacoaster,98.424,0,62.1371,2624.64,89.9
Alpengeist,Busch Gardens Williamsburg,North America,B&M,Steel,Shoulder harness,1997,Chain lift hill,,196.848,6,67.108068,,89.9
Troy,Toverland,Europe,GCI,Wooden,Lap bar,2007,Chain lift hill,Twister,114.828,0,,3280.8,89.5
Ravine Flyer II,Waldameer,North America,Gravity Group,Hybrid,Lap bar,2008,Chain lift hill,Twister,78.7392,0,56.544761,2900.2272,89.2
Icon,Blackpool Pleasure Beach,Europe,Mack,Steel,Lap bar,2018,Magnetic Launch (LIM/LSM),Looper,88.5816,1,49.70968,3749.9544,89.1
Battlestar Galactica - CYLON,Universal Studios Singapore,Asia,Vekoma,Steel,Shoulder harness,2010,Electrical lift hill,,137.7936,0,55.92339,,89
Stealth,Thorpe Park,Europe,Intamin,Steel,Shoulder harness,2006,Hydraulic cable launch,Rocket,206.6904,0,83.885085,1312.32,88.9
