continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
2,52,2,3,2017,0.6916375160217285,1.2891212701797485,82.02,0,24.85484,1607.592,29.0
2,50,5,2,1993,4,1.2891212701797485,52.4928,0,31.06855,1712.5776,28.8
3,35,9,2,1973,4,1.2891212701797485,104.9856,0,57.166132,3451.4016,28.2
3,25,5,2,1986,4,1.2891212701797485,91.8624,0,55.302019,3251.2728,27.9
3,35,9,2,1972,4,91,2.51601505279541,0,0.4018142819404602,1348.4088,27.8
2,2,5,2,1995,4,65,55.7736,0,0.4018142819404602,3307.0464,27.5
2,28,5,2,2003,4,1.2891212701797485,52.4928,0,0.4018142819404602,918.624,27.5
2,50,5,2,2001,1,20,30,0,0.4018142819404602,49.98610305786133,27.5
2,50,5,5,32.40647888183594,4,81,108.2664,5,49.70968,2260.4712,27.3
2,29,5,2,2005,11,14,36.0888,0,0.4018142819404602,859.5696,27.3
2,56,5,2,32.40647888183594,1,26,29.5272,0,24.85484,728.3376,27.3
2,29,5,2,1985,0.6916375160217285,14,19.6848,0,27.961695,1213.896,27.2
2,31,5,2,2011,4,1.2891212701797485,55.7736,0,36.039518,1410.744,26.9
3,50,5,5,32.40647888183594,1,22,49.212,0,26.097582,1122.0336,26.7
2,50,5,2,1996,0.6916375160217285,1.2891212701797485,2.51601505279541,0,27.961695,1000.644,26.2
1,22,5,5,2011,14,36,82.02,0,0.4018142819404602,262.464,25.9
3,29,5,2,2016,0.6916375160217285,98,2.51601505279541,0,0.4018142819404602,984.24,25.7
3,37,5,2,1996,4,1.2891212701797485,52.4928,0,39.767744,1496.0448,25.7
3,2,5,2,1974,4,65,2.51601505279541,0,0.4018142819404602,49.98610305786133,24.6
2,50,5,2,2012,1,1.2891212701797485,42.6504,0,28.583066,1099.068,24.6
1,50,5,5,1994,4,1.2891212701797485,2.51601505279541,0,0.4018142819404602,49.98610305786133,24.6
2,40,5,2,32.40647888183594,4,95,42.6504,0,29.204437,1377.936,24.6
2,50,5,5,2004,4,57,98.424,4,40.389115,49.98610305786133,24.3
2,45,5,2,1995,11,1.2891212701797485,49.212,0,40.389115,1476.36,24.1
2,56,5,2,32.40647888183594,1,22,2.51601505279541,0,0.4018142819404602,1640.4,24.0
2,47,5,5,2007,4,57,2.51601505279541,2,0.4018142819404602,49.98610305786133,23.8
2,50,5,2,2014,1,1.2891212701797485,36.0888,0,0.4018142819404602,721.776,23.7
2,56,5,0.5363013744354248,1980,0.6916375160217285,1.2891212701797485,2.51601505279541,0,0.4018142819404602,49.98610305786133,23.0
2,9,5,2,1934,4,1.2891212701797485,2.51601505279541,0,0.4018142819404602,2296.56,22.8
3,21,5,5,1991,4,62,88.5816,2,0.4018142819404602,2250.6288,22.4
3,50,5,2,2004,1,1.2891212701797485,42.6504,0,28.583066,1099.068,22.2
2,29,5,2,2009,0.6916375160217285,14,2.51601505279541,0,0.4018142819404602,49.98610305786133,22.1
2,47,5,2,1999,11,14,2.51601505279541,0,24.85484,49.98610305786133,21.7
